"","nace_r2","nace_r2_lab"
"138","G473","Retail sale of automotive fuel in specialised stores"
"139","G474","Retail sale of information and communication equipment in specialised stores"
"140","G475","Retail sale of other household equipment in specialised stores"
"141","G476","Retail sale of cultural and recreation goods in specialised stores"
"142","G477","Retail sale of other goods in specialised stores"
"143","G478","Retail sale via stalls and markets"
"144","G479","Retail trade not in stores, stalls or markets"
"145","H491","Passenger rail transport, interurban"
"146","H492","Freight rail transport"
"147","H493","Other passenger land transport"
"148","H494","Freight transport by road and removal services"
"149","H495","Transport via pipeline"
"150","H501","Sea and coastal passenger water transport"
"151","H502","Sea and coastal freight water transport"
"152","H503","Inland passenger water transport"
"153","H504","Inland freight water transport"
"154","H511","Passenger air transport"
"155","H512","Freight air transport and space transport"
"156","H521","Warehousing and storage"
"157","H522","Support activities for transportation"
"158","H531","Postal activities under universal service obligation"
"159","H532","Other postal and courier activities"
"160","I551","Hotels and similar accommodation"
"161","I552","Holiday and other short-stay accommodation"
"162","I553","Camping grounds, recreational vehicle parks and trailer parks"
"163","I559","Other accommodation"
"164","I561","Restaurants and mobile food service activities"
"165","I562","Event catering and other food service activities"
"166","I563","Beverage serving activities"
"167","J581","Publishing of books, periodicals and other publishing activities"
"168","J582","Software publishing"
"169","J591","Motion picture, video and television programme activities"
"170","J592","Sound recording and music publishing activities"
"171","J601","Radio broadcasting"
"172","J602","Television programming and broadcasting activities"
"173","J611","Wired telecommunications activities"
"174","J612","Wireless telecommunications activities"
"175","J613","Satellite telecommunications activities"
"176","J619","Other telecommunications activities"
"177","J620","J620 Computer programming, consultancy and related activities"
"178","J631","Data processing, hosting and related activities; web portals"
"179","J639","Other information service activities"
"180","L681","Buying and selling of own real estate"
"181","L682","Renting and operating of own or leased real estate"
"182","L683","Real estate activities on a fee or contract basis"
"183","M691","Legal activities"
"184","M692","Accounting, bookkeeping and auditing activities; tax consultancy"
"185","M701","Activities of head offices"
"186","M702","Management consultancy activities"
"187","M711","Architectural and engineering activities and related technical consultancy"
"188","M712","Technical testing and analysis"
"189","M721","Research and experimental development on natural sciences and engineering"
"190","M722","Research and experimental development on social sciences and humanities"
"191","M731","Advertising"
"192","M732","Market research and public opinion polling"
"193","M741","Specialised design activities"
"194","M742","Photographic activities"
"195","M743","Translation and interpretation activities"
"196","M749","Other professional, scientific and technical activities n.e.c."
"197","M750","M750 Veterinary activities"
"198","N771","Renting and leasing of motor vehicles"
