,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99
AT11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT12,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.135569985569986,0.0,4.0,2.1527777777777777,0.0,2.1666666666666665,0.0,0.047619047619047616,0.0,1.5,0.5,0.3333333333333333,0.3125,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.9583333333333335,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,12.219444444444445,2.9027777777777777,0.125,0.0,0.0,7.0476190476190474,1.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.5,0.0,0.0,0.0,3.446969696969697,2.6666666666666665,1.25,1.8333333333333333,0.5,2.5277777777777777,0.0,0.0,0.7916666666666666,0.3333333333333333,0.7291666666666666,0.25,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,3.0,0.0,0.25,1.2666666666666666,1.5,0.0,0.6666666666666666,2.0,4.75,3.0,0.0,0.0,0.6666666666666666,2.958333333333333,0.0,0.0,0.125,0.0,3.5166666666666666,1.0,0.0,0.0,1.6,0.25,0.0,1.0,0.0,0.25,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,4.6,3.9,0.08333333333333333,0.9166666666666666,0.25,0.0
AT13,2.0,1.3333333333333333,0.0,1.8333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,2.0,21.25154742917901,0.5,5.266666666666667,2.111111111111111,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.75,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,1.1666666666666665,0.0,0.5,5.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.5,0.0,0.0,4.144444444444445,6.736111111111111,0.125,0.0,0.0,0.7976190476190476,2.8111111111111113,0.0,0.0,0.0,0.5,0.5,0.8333333333333333,0.0,1.3333333333333333,0.3333333333333333,0.0,4.513761676919572,0.5,0.5,2.0,0.0,3.3408730158730156,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,7.833333333333334,2.4,0.0,2.4166666666666665,1.4166666666666665,1.8333333333333333,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,1.0,1.6666666666666665,0.0,0.0,0.3333333333333333,1.6666666666666665,2.75,0.0,0.0,0.0,0.75,1.2,0.0,0.0,4.504761904761905,0.0,0.0,0.0,1.6666666666666665,2.0833333333333335,0.3333333333333333,0.8333333333333333,1.0,0.0,0.25,0.0,0.0,0.0,0.0,5.666666666666666,4.333333333333333,0.3333333333333333,4.166666666666667,0.0,0.0
AT21,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.5,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,1.3333333333333333,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,1.0,0.0,0.0,2.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.583333333333333,0.0,1.7499999999999998,1.5,0.0,0.0
AT22,1.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,1.6666666666666667,0.0,0.0,0.0,0.75,3.861111111111111,0.3333333333333333,3.0,1.5909090909090908,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,2.833333333333333,1.0,0.0,0.0,0.5,0.25,0.0,0.0,2.3181818181818183,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,1.3333333333333333,2.1666666666666665,0.0,0.0,0.5,1.55,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.7999999999999999,0.0,0.8333333333333333,1.0,0.0,1.0694444444444444,1.976010101010101,2.75,0.0,0.5,0.638888888888889,0.0,0.0,0.0,1.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4333333333333336,2.5,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.6000000000000001,1.4,0.0,0.0,0.0,0.0,2.0454545454545454,0.0,1.0,0.0,0.1,0.0,0.0,0.41666666666666663,2.333333333333333,0.0,0.0,0.0,0.0,5.305555555555555,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.311111111111111,0.0,2.0,0.0,0.0,0.0
AT31,2.5,0.0,0.25,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,3.6666666666666665,2.1666666666666665,1.5,1.0,2.25,2.0,1.75,0.0,0.0,0.0,1.0,0.5,0.0,3.083333333333333,0.25,3.0,0.0,1.0,0.0,0.5,2.0,9.535714285714285,1.3333333333333333,0.5,1.1984126984126984,0.0,0.0,0.0,0.0,0.0,4.263888888888888,0.2222222222222222,5.0,0.0,1.0714285714285714,8.333333333333334,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,4.966666666666667,9.602777777777778,0.18333333333333335,0.0,0.0,1.6666666666666665,0.0,0.0,3.6666666666666665,0.6111111111111112,0.0,0.2,0.0,0.0,0.0,5.408333333333333,0.0,0.0,0.25,0.5,0.0,0.0,0.0,1.0,4.833333333333334,0.0,0.5,2.0,1.0,1.0,0.0,0.0,1.4166666666666665,2.833333333333333,0.0,1.1666666666666665,0.0,0.0,3.625,0.0,0.0,0.0,0.3333333333333333,2.1333333333333333,0.0,0.0,3.7222222222222223,0.9166666666666666,0.0,0.0,0.0,2.833333333333333,2.0,0.0,0.0,0.7,1.0,0.5,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
AT32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26666666666666666,0.0,1.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AT33,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.683333333333334,0.0,1.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,3.5666666666666664,0.2,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.5666666666666667,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0833333333333333,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.3,1.3333333333333333,0.0,3.861111111111111,0.0,0.1,0.0,1.1166666666666667,1.238888888888889,0.0,0.0,0.0,0.5333333333333333,2.7666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6000000000000001,0.0,2.5,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,1.9999999999999998,0.0,1.0,4.3090909090909095,0.0,0.0,1.0,0.0,2.5,0.0,0.0,2.45,0.8333333333333333,0.5,0.0,0.0,2.0,1.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5909090909090908,0.0,0.7333333333333334,0.0,0.0
AT34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.366666666666667,0.0,0.0,3.0,0.85,0.0,0.2,0.0,1.0,0.0,0.4,0.3333333333333333,0.0,1.3333333333333333,0.0,0.8666666666666667,0.16666666666666666,2.666666666666667,0.0,0.3333333333333333,1.1666666666666665,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,2.0,0.0,0.0,0.0,1.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,1.4,0.0,0.0,0.4861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,0.125,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.5833333333333333,0.8,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.833333333333333,0.0,3.5,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.6666666666666665,0.0
ATZZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0
