,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99
AT11,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,1.3638167388167388,0.0,1.6666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.29411764705882354,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.029411764705882353,0.0,0.2,0.0,0.0,1.0,2.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9067460317460317,0.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.1,0.0,0.375,0.0,0.0,0.7083333333333333,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4333333333333333,0.4583333333333333,0.0,0.6666666666666666,0.16666666666666666,0.0
AT12,2.6306471306471306,0.0,0.0,0.3068181818181818,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5151515151515151,17.08015873015873,1.6761904761904762,4.726190476190476,4.372183372183372,0.0,0.9111111111111111,0.0,0.07740384615384616,0.0,0.5,0.2,0.0,3.083333333333333,1.8333333333333333,0.9166666666666666,1.1,0.16666666666666666,1.5833333333333333,1.0,1.3,3.0666666666666664,0.2,0.3333333333333333,3.4071428571428575,0.0,1.5,0.0,0.0,0.0,4.121464646464647,6.5,1.1,1.0,0.0,6.673931623931623,7.3500000000000005,0.0,0.0,0.0,0.5,0.2,1.6636363636363636,0.0,0.0,0.2,0.0,4.432034632034632,2.5718677156177154,0.4578379953379953,0.38181818181818183,0.0,2.4601370851370854,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.045454545454545456,0.0,0.0,0.05555555555555555,0.25555555555555554,0.3111111111111111,0.0,0.5454545454545454,0.0,0.5111111111111111,13.116666666666667,5.0,0.5,0.6666666666666666,14.142857142857142,2.75,5.333333333333333,0.3333333333333333,0.0,1.1765873015873016,4.477380952380952,0.0,5.508333333333333,0.125,0.3333333333333333,11.644047619047619,1.5714285714285712,0.42857142857142855,0.0,1.0681818181818181,4.066666666666666,0.5,0.0,0.0,0.0,1.25,0.0,0.0,5.775,0.41666666666666663,1.0,0.0,1.1,5.35,3.75,1.0833333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,6.4869047619047615,6.133333333333333,0.16666666666666666,23.566666666666666,5.083333333333333,0.0
AT13,1.696969696969697,0.0,0.0,0.6401515151515151,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.5,38.746610334110336,0.30000000000000004,2.05,1.1166666666666667,0.0,0.30000000000000004,0.0,1.2000000000000002,0.0,0.0,0.5,1.5833333333333333,0.0,0.75,1.6111111111111112,0.0,0.16666666666666666,0.0,0.0,0.0,1.4327731092436975,0.0,0.125,0.853641456582633,0.6785714285714286,2.0,1.9166666666666665,0.0,0.25,4.536554621848739,3.4833333333333334,0.942857142857143,0.0,1.1,8.208333333333334,2.55,0.25,0.0,0.42857142857142855,1.5484126984126982,0.625,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,10.393850593850594,2.162229437229437,1.618109668109668,0.25,0.5,13.824765512265513,0.0,0.0,0.5,1.6180555555555556,0.7083333333333333,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.29545454545454547,0.0,0.0,3.25,2.916666666666667,0.0,0.0,0.5,2.25,0.5,0.0,0.0,0.9999999999999999,0.7,0.0,2.375,0.125,0.0,3.0833333333333335,0.2,0.08333333333333333,0.3333333333333333,0.25,1.5,0.0,0.5,0.0,1.8666666666666665,1.25,0.1,0.0,17.497435897435896,1.0,0.5928571428571429,0.75,1.5,24.363095238095237,7.764285714285714,3.4333333333333336,3.833333333333333,2.0714285714285716,0.8511904761904762,0.0,1.0833333333333333,0.0,0.0,16.113690476190477,9.283333333333333,3.5,64.96666666666667,2.6468253968253967,0.0
AT21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,1.0,0.4,3.533333333333333,0.5,0.0,2.0154761904761904,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857142,0.0,0.0,0.25,0.0,0.8253968253968254,0.0,0.0,0.25,1.5833333333333333,0.9166666666666666,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5158730158730158,4.1079365079365076,0.0,0.5555555555555556,0.5555555555555555,0.0,0.0,0.5666666666666667,0.0,1.21984126984127,0.0,0.0,0.1,0.0,0.0,0.0,0.12916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.3253968253968254,0.5833333333333333,0.5,0.0,2.5357142857142856,0.25,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.5,2.35,0.0,0.47619047619047616,0.0,2.0,0.0,0.0,1.4166666666666665,1.0,0.25,0.8333333333333333,0.0,0.6666666666666666,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.4625,0.0,3.0,2.0,0.3333333333333333,0.0
AT22,1.2222222222222223,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,12.256746031746031,0.0,1.8333333333333333,4.602777777777778,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,0.0625,0.0,1.2083333333333333,1.3333333333333333,3.4027777777777777,1.0,1.3333333333333333,0.125,0.9166666666666666,0.0,1.5,0.0,0.0,1.0357142857142856,0.0,0.16666666666666666,0.0,0.0,0.25,8.441830065359477,6.608333333333333,0.25,0.0,2.0,6.75,0.8333333333333333,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,1.25,5.303571428571429,1.0,0.0,3.7083333333333335,3.4166666666666665,2.0416666666666665,0.2,0.16666666666666666,1.901190476190476,0.0,0.3333333333333333,2.25,2.0555555555555554,1.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.833333333333334,2.2916666666666665,0.0,0.0,4.258333333333333,0.8,0.45,2.5,0.0,2.888982259570495,2.950046685340803,1.9444444444444444,2.7956349206349205,1.2619047619047619,1.375,10.362745098039216,1.2444444444444445,0.0,0.0,0.3333333333333333,2.0,3.333333333333333,0.0,0.25,0.5083333333333333,0.0,0.0,0.0,14.625,0.0,0.0,0.0,1.9583333333333333,4.416666666666666,1.8333333333333333,0.5,0.3333333333333333,1.1666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,25.783333333333335,4.904411764705882,5.666666666666667,2.6666666666666665,1.1833333333333331,0.0
AT31,5.722222222222222,0.0,0.0,0.0,0.0,0.8333333333333333,0.5,1.5,0.5,0.0,0.0,2.9523809523809526,6.569444444444445,1.0,3.0277777777777777,8.22936507936508,0.0,0.5,0.0,1.1111111111111112,0.0,1.0,0.0,0.0,3.482142857142857,4.059523809523809,9.233333333333333,1.0,2.5,0.8,1.8333333333333333,0.8666666666666667,10.268783068783069,0.0,0.0,4.185185185185185,0.0,4.75,3.083333333333333,0.6666666666666666,0.047619047619047616,9.323412698412698,2.783333333333333,1.5,0.0,0.14285714285714285,8.438095238095238,2.583333333333333,0.0,0.0,0.16666666666666666,2.4583333333333335,1.6888888888888889,0.9000000000000001,0.5,1.1111111111111112,0.16666666666666666,0.0,7.502777777777777,21.976190476190474,1.5555555555555556,0.0,0.75,0.2,0.0,0.0,4.9208333333333325,2.5027777777777778,0.0,1.0,0.0,0.0,0.0,1.4666666666666666,0.0,0.611111111111111,2.453968253968254,0.0,1.0,0.375,0.45238095238095233,3.472222222222222,8.5,1.5,1.0,9.375,4.3,7.7976190476190474,1.0,0.0,4.041666666666667,7.841666666666666,0.6111111111111112,0.8,0.7,2.0416666666666665,19.03333333333333,0.0,0.6666666666666666,0.0,4.775,2.767857142857143,0.05555555555555555,1.75,2.6470238095238092,1.6333333333333333,3.0,1.9999999999999998,0.0,8.016666666666666,1.6666666666666665,1.4166666666666665,0.0,2.7916666666666665,6.666666666666666,1.0,1.3333333333333333,2.25,0.0,0.5,0.0,0.0,0.0,0.0,5.498015873015873,4.98968253968254,0.0,5.333333333333333,3.083333333333333,0.0
AT32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5166666666666666,7.875,0.5,10.766666666666666,2.6805555555555554,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,2.358760683760684,0.0,0.0,0.9134615384615384,0.0,0.0,0.0,0.0,1.125,2.142857142857143,0.0,0.0,1.0,0.0,2.625,2.5,1.0,0.0,0.0,0.0,0.95,0.575,0.0,1.1111111111111112,0.0,0.0,1.4472222222222222,0.4,0.31666666666666665,0.5,0.0,0.26666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,5.0,0.8333333333333333,0.0,1.0,3.5238095238095237,1.8095238095238095,0.0,0.0,1.3888888888888888,1.8571428571428572,0.0,0.5,0.0,0.0,2.1666666666666665,0.0,0.2857142857142857,0.0,0.0,2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.3333333333333333,0.0,0.0,0.0,2.9166666666666665,1.7499999999999998,0.9047619047619048,0.8214285714285714,0.0,2.0,0.0,0.0,0.0,0.0,2.5,1.1666666666666665,0.0,2.833333333333333,1.4714285714285715,0.0
AT33,1.75,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,2.0,17.831746031746032,1.0,1.0,2.4652777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4304029304029304,5.378846153846154,0.0,1.25,0.125,1.25,0.5,1.7083333333333333,0.0,0.0,0.5384615384615384,0.0,2.5,0.0,0.0,1.8333333333333333,0.625,1.0,2.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.125,0.0,1.6222222222222222,0.0,1.6666666666666665,0.0,0.0,4.953968253968254,2.620833333333333,0.3333333333333333,0.0,0.0,1.2666666666666666,0.0,0.0,0.0,0.547985347985348,0.40512820512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.3333333333333333,3.0,2.1142857142857143,1.5,0.5,0.0,0.0,0.8,0.027777777777777776,0.0,0.027777777777777776,0.0,0.9611111111111111,0.0,0.5,0.0,0.0,4.15,4.552380952380952,0.0,0.0,0.1,0.25,0.0,0.0,5.133333333333333,3.5,0.0,0.0,1.0,1.0,0.625,0.0,1.0,0.16666666666666666,0.0,0.0,0.08333333333333333,1.3717948717948716,0.0,3.1357142857142857,1.0555555555555556,0.0,1.75,1.8749999999999998,0.0
AT34,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,15.472222222222221,8.551984126984127,0.0,1.0,0.8636363636363636,0.75,0.0,0.0,0.25,0.0,0.0,1.1,0.0,0.5,0.0,3.3166666666666664,0.16666666666666666,3.2666666666666666,1.0,0.0,0.08333333333333333,1.8181818181818181,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,4.516666666666667,6.5,5.277777777777778,0.0,0.25,5.931818181818182,1.75,0.5,0.0,0.0,0.0,0.0,2.106060606060606,1.3901515151515151,0.0,0.0,0.0,0.5277777777777778,0.1,0.3333333333333333,0.0,0.0,0.36363636363636365,0.0,0.0,0.4727272727272727,0.9818181818181818,1.25,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,1.9,1.0,0.0,0.5,0.0,0.0,0.0,0.5,2.5416666666666665,12.789682539682538,2.5,0.0,0.0,2.8333333333333335,1.2023809523809523,0.0,2.614285714285714,0.16904761904761906,0.4444444444444444,12.027777777777777,0.0,9.797619047619047,0.0,2.142857142857143,0.0,0.5,0.0,0.36363636363636365,0.4,0.0,0.6666666666666666,0.0,7.583333333333333,0.7857142857142857,0.16666666666666666,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.538095238095238,0.9,0.4,2.5,13.299999999999999,0.0
ATZZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17222222222222222,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30952380952380953,0.0,0.0,0.5,0.0,0.0
