,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99
AT11,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.30000000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.9285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.25,0.5,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41666666666666663,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0
AT12,1.4333333333333333,0.0,0.0,0.4777777777777778,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,17.341482217460477,0.30000000000000004,0.8333333333333333,1.25,0.0,0.07142857142857142,0.0,0.65,0.0,0.0,0.0,0.27142857142857146,0.0,1.8306878306878307,2.7333333333333334,0.8999999999999999,0.0,0.9,0.8333333333333333,0.1,2.4166666666666665,0.75,0.0,1.0476190476190474,0.0,0.25,0.0,0.0,0.0,5.583333333333333,1.5,0.0,0.0,0.0,3.783333333333333,2.0,0.0,0.0,0.0,0.0,0.0,2.642857142857143,0.6666666666666666,0.5,0.14285714285714285,0.0,3.576222577744317,1.1412087912087912,0.22619047619047616,0.0,1.0,3.9946307858807857,0.0,0.0,0.25,0.7017195767195767,0.25,0.25,0.0,0.030303030303030307,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3.783333333333333,4.083333333333333,0.0,0.0,4.595238095238095,4.75,0.5,1.0,0.0,0.7964285714285714,3.4166666666666665,1.1666666666666667,1.3333333333333333,0.29166666666666663,0.0,4.033333333333333,0.0,1.4333333333333333,0.0,0.0,0.0,0.25,0.3333333333333333,0.375,0.0,1.0,0.5,0.0,6.830635300372142,2.4166666666666665,0.3333333333333333,0.0,0.5,12.529239766081872,3.5,2.25,0.2,0.5,0.005847953216374269,0.0,0.5,0.0,0.0,12.2,5.416666666666666,0.42251461988304095,14.94736842105263,3.083333333333333,0.0
AT13,1.5242424242424242,1.0,1.0,1.6166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.25,29.088943404956762,0.3333333333333333,4.333333333333333,2.225,0.0,0.3214285714285714,0.0,0.25,0.0,0.0,0.0,0.07142857142857142,0.6666666666666666,0.0,1.3333333333333333,0.0,0.6666666666666666,0.0,1.1666666666666665,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,1.25,2.0,0.25,5.333333333333333,2.333333333333333,1.0,1.0,0.5,4.258333333333333,7.5,1.0,0.0,0.0,0.29166666666666663,0.6083333333333334,2.4,0.0,1.0,0.14285714285714285,0.0,8.931611746968626,1.1277777777777778,0.08333333333333333,1.2,0.5,8.474183153591047,0.0,0.0,0.25,0.17142857142857143,0.6386904761904761,0.25,0.29166666666666663,0.030303030303030307,0.0,0.0625,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.05,10.75,0.16666666666666666,1.0,1.3333333333333333,0.0,0.25,0.0,0.0,0.16666666666666666,5.666666666666667,0.0,0.5833333333333333,0.8333333333333333,0.0,1.5,0.0,4.0,0.0,0.0,0.0,0.0,1.1,0.0,0.5,0.0,0.5,0.0,11.634675704412546,1.0,1.8333333333333333,0.0,1.6666666666666665,9.445906432748538,1.0,1.3333333333333333,3.0,0.16666666666666666,1.0058479532163742,0.0,0.6666666666666666,0.0,0.0,2.833333333333333,5.3,1.372514619883041,34.88070175438597,1.5833333333333333,0.0
AT21,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8333333333333333,1.0,2.333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625,0.0,0.0,0.3333333333333333,0.5,0.0,2.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,5.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,0.0,0.0,0.25,2.5,0.5,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,0.0,8.033333333333333,2.0,5.416666666666666,0.0,0.0,0.0
AT22,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,2.0,2.588888888888889,0.0,1.2,2.5,1.0,0.25,0.0,0.0,0.0,2.25,0.0,0.0,3.0464285714285713,1.9619047619047618,2.4166666666666665,0.0,0.0,0.6000000000000001,0.0,0.0,0.7857142857142857,0.0,0.0,1.4346320346320347,0.0,0.0,0.0,0.0,0.0,9.423809523809524,6.433333333333334,0.8333333333333333,0.0,0.0,7.7749999999999995,1.0,0.0,0.0,0.375,0.0,0.0,1.25,0.0,2.6255411255411256,1.0,0.0,0.1111111111111111,5.333333333333333,4.166666666666666,0.0,0.0,1.4666666666666666,0.0,0.0,2.905952380952381,2.744047619047619,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.14285714285714285,0.30952380952380953,0.0,0.0,0.14285714285714285,0.0,1.0714285714285714,4.0,3.6,0.75,0.0,1.5,4.4,1.3333333333333335,4.333333333333333,0.0,3.4886363636363638,9.261363636363637,0.0,0.25,0.4,0.0,6.353571428571429,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.16666666666666666,1.25,0.5,0.0,0.0,12.641666666666666,1.0,0.0,0.0,2.5,8.166666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,12.8008658008658,1.119047619047619,7.333333333333333,5.0,1.2818181818181817,0.0
AT31,4.166666666666666,1.5,0.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,4.791666666666666,5.924891774891774,1.5,4.0,5.838095238095238,1.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.5,0.0,7.642857142857142,9.235449735449736,8.992857142857144,1.8333333333333333,0.325,2.6666666666666665,2.2666666666666666,1.0,12.969047619047618,0.6428571428571428,0.0,1.8666666666666665,0.0,2.452380952380952,0.16666666666666666,0.0,1.5666666666666667,7.291666666666666,1.0833333333333333,3.266666666666667,0.0,1.1666666666666665,4.75,4.0,0.16666666666666666,0.0,0.0,0.0,0.25,1.5785714285714285,0.25,0.25,0.0,0.0,7.698160173160173,13.969047619047618,0.775,0.1111111111111111,0.0,1.7886363636363636,0.0,0.0,5.077380952380952,1.4537037037037037,0.0,0.0,0.3333333333333333,0.015151515151515152,0.0,4.333333333333333,0.0,0.0,6.933333333333334,0.0,3.1666666666666665,0.75,0.0,0.5833333333333334,13.916666666666668,3.533333333333333,0.0,5.233333333333333,1.0,4.487179487179487,0.5,0.0,1.7984126984126982,5.669444444444444,2.376190476190476,0.8333333333333333,2.539285714285714,0.0,10.533333333333333,0.0,0.0,0.0,1.8,2.1666666666666665,0.75,1.0,1.4583333333333333,1.0,0.3333333333333333,0.0,0.0,5.542857142857143,1.7435897435897436,0.4583333333333333,0.0,2.7416666666666667,4.291666666666667,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.910256410256411,6.333333333333333,0.75,3.416666666666667,0.0,0.0
AT32,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.1111111111111112,7.070833333333333,0.30000000000000004,1.0333333333333332,1.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.4333333333333333,0.0,1.3333333333333333,0.0,0.0,1.507936507936508,0.0125,1.0,0.0,0.0,0.0,4.0,0.16666666666666666,0.16666666666666666,0.0,1.6666666666666665,0.5,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.5777777777777777,1.4531746031746031,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,5.423809523809524,2.0,3.0,0.0,0.0,0.16666666666666666,0.75,0.0,1.75,0.0,0.3333333333333333,2.5833333333333335,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0124999999999997,0.0125,0.0,1.0,0.0,2.2916666666666665,2.875,0.0,0.0,1.0,5.666666666666666,0.0,0.0,0.0,0.0,0.32916666666666666,0.8333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0
AT33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4166666666666665,14.516176470588235,0.0,3.7,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,3.75,2.333333333333333,0.0,0.0,2.333333333333333,0.5833333333333333,2.1666666666666665,0.0,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.2,0.13333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.9142857142857141,0.0,1.3333333333333333,0.0,0.0,2.678267973856209,2.11984126984127,0.14285714285714285,0.0,0.3333333333333333,1.58125,0.0,0.0,0.0,2.033333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,2.845238095238095,8.19047619047619,0.39285714285714285,0.0,0.0,1.0,3.9,0.0,0.0,0.0,0.0,4.5,0.0,2.4166666666666665,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.25,1.5,0.0,0.0,0.9,2.45,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.0,2.3,0.5,1.5,0.7,1.5,0.0
AT34,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,12.333333333333332,14.425,0.6666666666666666,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.1428571428571428,0.30000000000000004,3.157936507936508,0.13333333333333333,1.5,0.0,0.0,0.8999999999999999,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,2.3333333333333335,0.3333333333333333,0.6363636363636364,0.0,6.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8227272727272728,0.09090909090909091,0.0,0.0,0.25,2.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,7.572727272727273,0.09090909090909091,0.41666666666666663,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.49999999999999994,0.0,0.0,0.0,1.25,0.18181818181818182,0.0,5.1499999999999995,8.166666666666666,0.0,0.49999999999999994,0.0,6.761904761904762,0.0,0.2909090909090909,0.0,0.4909090909090909,0.0,5.809523809523809,0.0,9.3,0.0,0.8181818181818182,0.3333333333333333,0.0,0.0,0.6818181818181819,0.0,0.0,1.0,0.0,5.805555555555555,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.694444444444445,3.0,0.0,0.0,4.811111111111111,0.0
ATZZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
