,Y02A  10,Y02A  20,Y02A  30,Y02A  40,Y02A  50,Y02A  90,Y02B  10,Y02B  20,Y02B  30,Y02B  40,Y02B  50,Y02B  60,Y02B  70,Y02B  80,Y02B  90,Y02C  10,Y02C  20,Y02D  10,Y02D  30,Y02D  50,Y02D  70,Y02E  10,Y02E  20,Y02E  30,Y02E  40,Y02E  50,Y02E  60,Y02E  70,Y02P  10,Y02P  20,Y02P  30,Y02P  40,Y02P  60,Y02P  70,Y02P  80,Y02P  90,Y02T  10,Y02T  30,Y02T  50,Y02T  70,Y02T  90,Y02W  10,Y02W  30,Y02W  90,Y04S  10,Y04S  20,Y04S  30,Y04S  40,Y04S  50
AUS,0.0,0.0,0.0,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333332,0.5,0.0,4.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.583333333333333,1.25,0.0,0.5,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,1.75,1.0,0.0,0.8333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,1.0,0.0,0.0,0.5,1.0,0.0,7.583333333333333,1.25,0.0,2.0,0.0,4.5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.25,4.916666666666666,0.5,0.0,0.0,0.0,0.0,0.0
BEL,0.0,0.0,0.0,2.833333333333333,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.1666666666666665,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,2.5000000000000004,0.0,1.8333333333333333,2.611111111111111,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,1.1666666666666663,0.5,0.1666666666666666,0.1666666666666666,0.0,0.49999999999999994,0.0
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.0,0.5,1.25,1.6666666666666665,3.833333333333333,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,1.0,0.0,1.0,7.166666666666666,0.0,4.0,3.5,0.0,0.0,0.0,2.333333333333333,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0
CHE,0.0,0.0,1.5,0.8333333333333333,1.25,0.0,0.3333333333333333,1.0,3.333333333333333,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.666666666666666,0.0,0.0,0.0,1.916666666666666,4.5,0.0,3.25,8.666666666666666,0.0,0.0,0.0,4.333333333333333,0.0,3.6666666666666665,2.333333333333333,0.5,1.0,0.0,0.8333333333333333,2.333333333333333,6.666666666666667,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726190476190476,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,0.5,3.1666666666666665,4.5,12.833333333333332,24.733333333333334,0.0,5.416666666666667,5.5,9.416666666666666,0.0,0.0,0.0,6.0,2.25,0.8333333333333333,0.0,3.6666666666666665,0.0,1.0,0.0,0.0,22.583333333333336,13.5,25.0,2.0,7.333333333333333,38.33333333333333,0.0,19.166666666666664,32.33333333333333,3.0,8.5,1.0,18.166666666666664,0.0,8.666666666666666,74.1,1.0,4.0,0.0,0.8333333333333333,29.666666666666668,69.18333333333334,2.416666666666667,0.0,0.8333333333333333,0.0,1.8333333333333333,0.0
DNK,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,1.5,0.0,0.0,0.25,0.5,0.0,0.0,3.083333333333333,0.0,1.0,0.0,0.25,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.9999999999999999,2.25,0.0,0.0,0.0,0.0,0.0,0.0
