,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99
AUS,19.28333333333333,1.75,1.5,5.783333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,1.9999999999999996,1.0,9.316666666666666,45.94523809523809,0.6000000000000001,6.041666666666666,9.616666666666665,0.0,2.25,4.166666666666666,2.1666666666666665,1.5833333333333333,2.333333333333333,2.0,0.311111111111111,2.0,0.6666666666666666,4.666666666666666,1.5,2.4999999999999996,1.1666666666666665,3.25,3.0,5.816666666666666,1.3333333333333333,1.0,0.2857142857142857,0.0,1.25,0.0,0.0,0.0,5.6722222222222225,1.0,3.611111111111111,7.0,0.0,16.916666666666664,1.1666666666666665,1.0,0.0,0.0,0.0,1.5,3.4444444444444446,2.411111111111111,3.3444444444444446,0.2,0.4444444444444444,15.283333333333333,4.476190476190475,0.0,3.8111111111111113,2.833333333333333,9.911904761904761,0.0,1.6666666666666665,0.0,3.166666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,2.5,4.416666666666667,1.5,9.748809523809523,1.585714285714286,0.1428571428571428,4.2,0.0,7.402380952380953,12.08095238095238,0.25,4.366666666666667,0.7,0.0,13.876190476190477,0.8333333333333333,0.25,0.0,0.4444444444444444,1.7,1.5,0.0,0.0,1.1666666666666665,0.0,2.0,0.0,29.792857142857144,2.642857142857143,1.9999999999999996,0.0,1.0,3.45,1.2,1.75,2.583333333333333,1.0,2.5,0.0,0.0,1.0,0.0,13.916666666666666,2.033333333333333,0.5,6.666666666666666,1.5,0.0
AUT,7.366666666666666,3.333333333333333,1.5,3.9166666666666665,0.0,1.25,0.0,3.5,1.0,1.6666666666666665,0.0,10.927777777777777,28.882738095238093,0.6666666666666666,20.583333333333332,7.749999999999999,6.5,0.0,0.0,3.1666666666666665,1.0,2.5,0.0,0.1428571428571428,9.25,9.480952380952381,13.41904761904762,4.5,0.5,0.5833333333333333,3.783333333333333,3.1388888888888884,12.933333333333334,2.333333333333333,0.0,5.162698412698412,0.0,6.083333333333333,1.6666666666666665,0.0,0.2777777777777777,10.866666666666667,3.4,2.833333333333333,1.0,1.0,9.976190476190476,7.833333333333334,0.6666666666666666,0.0,0.0,0.5,1.1,6.404761904761904,1.7,1.7476190476190476,1.8333333333333333,0.0,17.28392857142857,13.247619047619047,11.72142857142857,3.0303030303030303,1.5,7.283333333333333,0.0,0.0,8.833333333333332,6.8999999999999995,2.2,1.0,0.0,0.0,0.0,0.0833333333333333,0.0,3.0,0.0,0.0,2.1666666666666665,0.0,0.0,4.5,12.416666666666666,1.8214285714285714,2.6666666666666665,17.03333333333333,9.766666666666666,8.916666666666666,3.75,0.0,4.545238095238095,19.538095238095238,0.0,4.333333333333333,0.0,0.0,15.299999999999999,0.9166666666666666,1.5,0.25,2.6666666666666665,3.0,1.7666666666666666,0.8333333333333333,2.4833333333333334,2.75,4.333333333333333,6.0,0.0,26.65,0.3333333333333333,1.5,0.0,1.8333333333333333,6.083333333333333,1.9166666666666665,0.0,3.9166666666666665,0.25,1.0,0.0,0.0,0.5,0.0,13.13095238095238,10.836363636363636,4.25,3.583333333333333,3.85,0.0
BEL,15.400252525252522,0.6666666666666666,0.0,7.333333333333333,0.0,0.5,0.0,0.0,0.125,1.0,1.3333333333333333,7.041666666666667,24.112637362637365,2.5,1.25,10.308333333333334,0.0,0.0,0.0,1.6277777777777778,0.1428571428571428,0.0,1.0,0.3333333333333333,4.4,4.5,2.3511904761904763,1.1428571428571428,3.6666666666666665,0.9333333333333333,1.6666666666666663,0.5,16.664550264550265,1.25,0.4166666666666666,7.476190476190475,0.0,0.2555555555555555,0.0,0.0,0.0,9.416666666666666,0.5,2.5,2.0,0.125,20.916666666666668,0.0,0.5,0.0,0.0,0.25,3.4166666666666665,3.5,4.2,2.3666666666666667,0.1666666666666666,1.0,23.378990453990454,32.24907407407407,5.674074074074073,1.9916666666666667,9.833333333333332,8.338888888888889,0.0,0.1666666666666666,4.366666666666667,1.1666666666666665,7.511111111111111,7.283333333333333,0.0,0.0,0.0,1.0,3.333333333333333,21.833333333333336,0.0,1.0,1.75,5.2,0.1666666666666666,0.3333333333333333,1.25,2.642857142857143,1.0,5.158333333333333,2.0,3.0,4.611111111111111,0.0,0.0,0.5833333333333333,1.75,2.8,0.25,1.25,8.567857142857143,1.375,1.0,1.0,0.5,3.0,0.3333333333333332,0.0,0.875,3.583333333333333,2.4166666666666665,2.333333333333333,0.0,13.838888888888889,2.083333333333333,24.166666666666664,0.0,0.8928571428571428,2.458333333333333,1.9166666666666665,1.0,2.25,0.1428571428571428,4.833333333333333,0.25,0.0,1.5,0.0,6.821428571428571,4.338095238095238,0.6666666666666666,14.083333333333332,3.916666666666667,0.0
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
BRA,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,1.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,12.575,0.0,0.0,3.277777777777778,0.0,0.0,0.0,4.0,0.0,3.5,1.5,4.477777777777778,36.86507936507937,3.9166666666666665,6.133333333333333,9.088095238095239,1.0,1.3,0.2222222222222222,3.5166666666666666,0.0,0.0,0.7777777777777777,0.125,3.958333333333333,2.25,5.257142857142856,0.95,2.55,0.4285714285714285,4.5,0.5,21.312995337995336,0.3333333333333333,0.5714285714285714,2.0687645687645686,0.0,7.166666666666666,0.6666666666666666,0.25,1.0,7.741666666666666,1.0,1.6,5.766666666666667,0.0,15.9520202020202,0.0,0.6666666666666666,0.0,0.0,0.25,7.995238095238094,2.833333333333333,0.3333333333333333,5.6000000000000005,0.75,1.5,16.270238095238096,12.965151515151515,5.199999999999999,6.666666666666666,2.533333333333333,6.476190476190475,0.0,0.0,2.511904761904762,3.3249999999999997,0.45,8.166666666666668,0.0,0.0,0.0,1.1666666666666667,1.1666666666666667,0.0,0.8269230769230769,0.0,1.9166666666666665,0.0,0.0,3.75,0.1428571428571428,5.433333333333334,0.3333333333333333,8.771367521367521,2.5,4.458333333333333,3.4666666666666663,0.0,0.9,2.833333333333333,0.0,3.0,1.0,1.0,7.199999999999999,0.0,0.1111111111111111,0.1111111111111111,2.583333333333333,2.8055555555555554,1.3333333333333333,0.0,0.1666666666666666,0.5,1.8333333333333333,2.0,0.0,21.34722222222222,7.866666666666666,1.375,0.0,1.126190476190476,9.6,2.0,2.833333333333333,3.533333333333333,1.5,0.5,0.0,0.0,1.75,0.0,24.75952380952381,3.6666666666666665,3.625,24.125,4.7023809523809526,0.0
CHE,54.70151515151515,4.1,2.5,11.2,2.416666666666667,2.642857142857143,1.0,5.5,11.892857142857142,2.9761904761904763,4.0,34.71666666666667,117.40018037518037,1.1666666666666665,14.55,40.40238095238095,5.0,4.0,0.0,11.133333333333333,0.0,4.75,0.3333333333333333,0.5,11.433333333333334,23.374603174603173,40.378571428571426,8.866666666666667,15.702380952380953,2.583333333333333,1.3333333333333333,4.758333333333333,15.708333333333332,2.25,0.3333333333333333,3.5424242424242425,0.0,8.142857142857142,2.8619047619047615,1.0,1.5761904761904761,7.624242424242424,13.616666666666665,5.8999999999999995,5.666666666666666,4.333333333333334,92.41785714285714,8.142857142857142,1.5,1.2333333333333334,0.0,0.3214285714285713,6.538888888888889,8.758333333333333,1.9166666666666665,6.3845238095238095,1.9999999999999996,1.0,97.70266955266955,35.334920634920636,27.081746031746032,9.623809523809523,1.5,12.322727272727272,0.0,0.0,0.8333333333333333,9.765873015873016,11.5,7.9833333333333325,0.6666666666666666,0.0,0.0,12.983333333333334,2.3333333333333335,14.549603174603174,5.0928571428571425,3.333333333333333,25.995238095238097,0.0,1.0555555555555554,3.444444444444444,15.533333333333333,3.2416666666666663,5.166666666666666,18.55,9.416666666666666,4.574999999999999,0.3333333333333333,0.0,7.75,17.535714285714285,0.0,6.75,1.333333333333333,3.3333333333333335,46.233333333333334,1.4166666666666665,4.0,1.9166666666666663,9.416666666666666,7.333333333333333,3.933333333333333,0.3333333333333333,0.25,5.0,7.5,1.9166666666666665,0.0,93.76785714285714,13.411111111111111,17.795238095238094,30.009523809523806,10.583333333333334,15.709523809523809,3.8857142857142857,7.5,4.777777777777778,3.083333333333333,9.404761904761905,0.6666666666666666,0.7,2.333333333333333,0.0,58.55952380952381,23.75,12.75,23.563492063492063,8.95,0.0
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.5,2.666666666666667,0.0,2.333333333333333,9.333333333333332,0.0,2.75,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.85,0.5,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.9,0.0,1.6,1.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0487179487179488,0.25,0.5384615384615384,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.6,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.25,4.5,0.0,1.5,0.0,0.0,0.0,1.6666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0,0.3333333333333333,1.0,1.5,0.6666666666666666,0.0,1.5,2.0,1.75,2.333333333333333,0.0,0.0,0.0,0.0,8.333333333333332,11.066666666666666,0.0,2.0,0.0,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
