,Y02A  10,Y02A  20,Y02A  30,Y02A  40,Y02A  50,Y02A  90,Y02B  10,Y02B  20,Y02B  30,Y02B  40,Y02B  50,Y02B  60,Y02B  70,Y02B  80,Y02B  90,Y02C  10,Y02C  20,Y02D  10,Y02D  30,Y02D  50,Y02D  70,Y02E  10,Y02E  20,Y02E  30,Y02E  40,Y02E  50,Y02E  60,Y02E  70,Y02P  10,Y02P  20,Y02P  30,Y02P  40,Y02P  60,Y02P  70,Y02P  80,Y02P  90,Y02T  10,Y02T  30,Y02T  50,Y02T  70,Y02T  90,Y02W  10,Y02W  30,Y02W  90,Y04S  10,Y04S  20,Y04S  30,Y04S  40,Y04S  50
FRA,1.0,1.75,3.75,5.583333333333333,26.583333333333336,4.0,1.0,4.0,9.75,2.5,0.0,0.0,8.75,0.75,1.0,0.0,5.25,8.566666666666666,9.5,0.0,0.0,17.625,6.0,15.0,1.0,2.083333333333333,46.75,0.0,6.166666666666666,40.28333333333333,0.5,7.0,2.0,14.775,0.5,1.8333333333333333,96.83333333333334,1.0,28.5,1.0,3.916666666666667,11.833333333333332,9.75,0.0,0.0,1.75,0.0,3.5,1.0
GBR,0.3333333333333333,1.5,0.5,8.666666666666666,27.92647058823529,4.666666666666666,0.3333333333333333,2.0,3.833333333333333,0.0,0.0,0.0,5.125,0.0,0.375,0.0,8.916666666666666,3.25,13.45,0.0,0.0,23.25,1.8333333333333333,2.5,1.0,6.0,30.833333333333332,0.3333333333333333,8.833333333333332,23.654761904761905,1.0,1.0,0.0,7.133333333333333,0.0,1.0,25.666666666666668,0.0,19.0,0.3333333333333333,0.3333333333333333,1.0,11.0,0.0,0.0,0.125,0.0,1.625,1.0
GRC,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571428571428,0.0,0.0178571428571428,0.0,0.0,0.0,0.0178571428571428,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.25,0.0,2.5,8.666666666666666,0.5,0.0,0.0,0.5,0.0178571428571428,0.0,1.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0178571428571428,0.0178571428571428,0.0,0.0178571428571428,0.0178571428571428
IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,0.0,0.0,0.0,3.0,3.0,2.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.2,0.0,0.0,2.833333333333333,0.5,0.0,0.0,0.0,3.7499999999999996,0.3333333333333333,0.0,2.0,0.0,0.0,0.0,2.083333333333333,1.0,0.0,2.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,1.0,1.2,1.8333333333333333,4.375,15.916666666666666,0.25,1.4166666666666665,4.0,11.0,2.0,0.0,0.0,5.45,0.5,0.2,0.0,3.0,2.333333333333333,2.0,0.0,0.0,12.991666666666667,6.0,0.0,0.3333333333333333,5.666666666666666,24.755555555555556,0.5333333333333333,3.5,17.666666666666664,1.0,6.25,1.125,9.569444444444445,0.7,2.0,32.5,1.0,4.5,1.0,0.0,1.5833333333333333,17.416666666666668,0.0,0.0,1.95,0.0,0.2,0.2
