,Y02A  10,Y02A  20,Y02A  30,Y02A  40,Y02A  50,Y02A  90,Y02B  10,Y02B  20,Y02B  30,Y02B  40,Y02B  50,Y02B  60,Y02B  70,Y02B  80,Y02B  90,Y02C  10,Y02C  20,Y02D  10,Y02D  30,Y02D  50,Y02D  70,Y02E  10,Y02E  20,Y02E  30,Y02E  40,Y02E  50,Y02E  60,Y02E  70,Y02P  10,Y02P  20,Y02P  30,Y02P  40,Y02P  60,Y02P  70,Y02P  80,Y02P  90,Y02T  10,Y02T  30,Y02T  50,Y02T  70,Y02T  90,Y02W  10,Y02W  30,Y02W  90,Y04S  10,Y04S  20,Y04S  30,Y04S  40,Y04S  50
AUS,0.5,2.0,0.25,1.0,5.142857142857142,4.0,0.8333333333333333,3.0,2.5,0.0,0.0,0.0,2.0,0.25,0.7,0.0,2.333333333333333,0.0,4.0,0.0,0.0,10.333333333333332,0.3333333333333333,0.0,0.25,3.0,5.961904761904762,0.0,7.75,4.583333333333333,0.0,1.0,1.5,2.571428571428571,1.8333333333333333,0.0,5.583333333333333,0.0,0.0,0.0,0.5,1.0,3.333333333333333,0.0,0.2,0.7,0.0,0.7,0.0
AUT,1.0,0.0,3.5,5.5,3.2857142857142856,0.0,3.4166666666666665,9.5,3.5,1.5,0.0,0.0,8.745833333333334,0.0,0.5625,0.0,1.5,0.0,1.3333333333333333,0.0,0.0,23.895833333333336,4.833333333333333,0.0,0.6458333333333333,4.833333333333333,30.3125,0.3333333333333333,16.0,5.3273809523809526,0.0,3.0,0.0,8.958333333333334,2.0,4.5,18.225,3.75,3.333333333333333,0.0,1.975,1.5,10.166666666666668,0.0,1.0208333333333333,1.1625,0.35,1.5625,0.0
BEL,0.0,0.25,1.0,11.433333333333334,11.666666666666668,0.5,2.0,2.5,1.85,0.0,0.0,0.0,3.85,1.0,0.25,0.0,0.5,2.0,3.015748031496063,0.0,0.0,26.35,0.75,1.3333333333333333,0.0,4.138888888888889,20.833333333333336,0.3333333333333333,5.666666666666666,9.958333333333332,2.083333333333333,4.0,1.805555555555556,4.583333333333333,0.25,1.0,14.691666666666668,0.0,7.0,0.0,1.4833333333333334,0.6666666666666666,7.305555555555555,0.0,0.0,1.85,0.0666666666666666,0.0,0.25
BGR,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.5,0.2916666666666666,0.0,0.8333333333333333,2.0,0.0,0.25,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,2.333333333333333,2.1666666666666665,0.5,1.0,1.5,0.0,0.5,0.0,1.0,0.0,0.0,5.166666666666667,0.0,2.0,0.0,0.1666666666666666,0.0,2.333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0
CAN,0.0,1.5,0.8333333333333333,7.583333333333333,18.33333333333333,3.0,1.0,6.083333333333333,7.75,1.0,0.0,0.0,2.6666666666666665,0.8333333333333333,0.8333333333333333,0.0,3.333333333333333,4.0,17.292857142857144,0.0,0.0,22.33333333333333,1.8333333333333333,4.0,0.75,4.333333333333333,24.98809523809524,0.1666666666666666,9.833333333333332,5.333333333333333,3.1666666666666665,1.8333333333333333,3.9166666666666665,8.75,1.5,3.333333333333333,26.291666666666664,1.0,17.366666666666667,1.0,0.9583333333333331,1.0,4.0,0.0,1.25,1.1666666666666663,0.0,4.027777777777778,0.3333333333333333
CHE,1.0,0.0,2.5,5.25,16.916666666666664,4.5,4.416666666666667,3.25,9.5,1.0,0.0,0.0,2.395833333333333,0.0,1.1111111111111112,0.0,1.5,2.5,3.333333333333333,0.0,0.0,32.08055555555556,15.125,1.8333333333333333,5.583333333333333,3.5,23.6125,1.6666666666666663,7.666666666666666,10.541666666666666,1.3333333333333333,1.125,1.0,9.908333333333331,0.8333333333333333,7.166666666666666,22.1875,1.0,7.5,0.0,6.145833333333333,1.5833333333333333,9.083333333333332,0.0,1.2291666666666663,1.145833333333333,0.2291666666666665,5.027777777777778,0.2847222222222221
CHL,0.0,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.8333333333333333,0.0,0.0,0.125,0.0,0.0,0.125
CHN,0.0,2.0,2.833333333333333,6.766666666666667,20.892857142857142,0.0,4.092857142857143,30.833333333333336,14.80952380952381,13.333333333333332,0.0,0.0,28.84438195225597,0.0,1.6603174603174602,0.0,1.5,36.33727034120735,176.00491145503364,0.0,0.0,79.03333333333333,4.142857142857142,3.0,5.021428571428571,10.28452380952381,104.24484126984126,2.833333333333333,13.666666666666666,26.558333333333334,1.7333333333333334,3.208333333333333,6.916666666666667,21.591666666666665,6.642857142857142,5.333333333333333,46.40674603174603,2.416666666666666,5.4,0.5,12.930555555555555,3.2,6.225,1.0,6.110317460317461,4.336507936507936,1.547222222222222,5.660317460317461,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
