Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BOL,31223.38,32357.18,33164.45,31852.52,31084.3,29670.13,29330.81,31341.7,31320.35,31758.41,31739.46,31650.72,34337.75,35099.95,38117.36,40498.97,41483.07,42891.64,44358.9,45172.55,50516.03,50825.48,52624.11,54952.34,56202.72,57540.41,59791.07,60180.58,60249.52,60785.47,,
BRA,590336.3,611487.5,621448.8,632775.7,649594.9,676200.3,679294.0,708065.2,732054.7,748826.6,767749.7,792376.5,820652.2,835740.8,880984.5,891000.8,890572.8,914650.6,929708.6,905868.9,991494.8,1010712.0,1049937.0,1080708.0,1118100.0,1095301.0,1063567.0,1079305.0,1046575.0,1057259.0,,
BRB,3107.613,3143.155,3380.085,3230.777,3304.666,3360.544,3366.53,3476.01,3590.063,3638.852,3586.228,3655.821,3705.192,3717.675,3713.304,3755.692,3813.57,3837.446,4152.58,6997.437,3945.485,4173.752,4550.591,3887.132,3728.607,3740.448,3781.224,3687.714,3760.876,3793.393,,
BWA,13044.78,12453.78,12692.96,12346.09,12580.78,13478.03,14622.55,14210.12,13852.7,13889.17,13696.45,15580.46,15921.09,8794.122,9378.462,10785.44,12605.02,10860.9,19589.01,10513.4,20951.81,25805.66,13099.92,14048.5,12766.47,12193.27,11095.76,14886.56,12677.7,11003.76,,
CAF,16866.3,17179.53,17230.16,17274.72,19774.63,19903.29,21914.44,22093.63,24131.03,21800.46,24763.74,20940.25,18694.25,23804.6,21190.33,22229.21,22371.44,22740.85,23880.15,19340.26,21495.21,22799.66,19915.57,21100.97,20645.51,21009.23,22856.7,21352.63,21908.22,19725.46,,
CAN,540382.5,536288.1,550629.6,546631.0,564717.0,579707.5,597667.7,611934.9,620147.8,625312.4,644891.0,636841.3,657762.6,679154.5,676032.2,690539.5,679222.2,712792.9,688188.3,653136.4,669979.2,686500.6,686650.5,698684.0,706322.4,704481.4,704747.6,721006.2,737993.0,736928.2,,
CHE,52782.87,55001.69,54928.22,52571.54,51701.71,52631.47,53248.35,51793.78,53350.35,53482.79,52733.54,54341.7,52711.97,53952.96,54450.74,55169.59,54887.48,52961.47,54586.72,53141.42,54717.24,50604.45,51906.62,52932.38,49122.22,48346.67,48854.84,47875.41,46613.58,46498.64,,
CHL,45262.85,44220.92,45717.87,48270.08,52273.66,56173.91,62720.37,69815.58,70918.98,73777.18,69917.43,67801.8,68405.09,69155.16,74537.81,75133.64,76420.97,84149.83,88877.24,86488.09,91660.08,98096.15,100542.5,103821.7,96454.36,102127.5,106589.8,107511.7,107691.5,113018.9,,
CHN,3240289.0,3387708.0,3516609.0,3746364.0,3905933.0,4309242.0,4330228.0,4325695.0,4443771.0,4376499.0,4568808.0,4761564.0,5068783.0,5718044.0,6503953.0,7266526.0,7946143.0,8555800.0,8810967.0,9386580.0,10218510.0,11098190.0,11385460.0,11878030.0,11938030.0,11818470.0,11800830.0,12035270.0,12471090.0,12705090.0,,
CIV,9303.522,12016.23,14644.99,17328.03,20157.85,20865.0,21648.53,23161.76,23525.57,25715.78,25867.09,25629.04,26040.73,23327.97,21706.74,22980.37,21910.38,21283.3,20955.09,19526.81,19213.43,18882.19,20485.81,21980.64,21882.1,22650.12,23966.51,24350.12,24091.31,24857.53,,
